"","x"
"1",0.000290340306604394
"2",0.000176276331165124
"3",0.000147068050649123
"4",0.000151687574265406
"5",0.000148849481477978
"6",0.000312310028027642
"7",0.000176118399963337
"8",0.000140083615872049
"9",0.000241176943699312
"10",0.000267257357318
"11",0.000212010247450442
"12",0.000201129973189346
"13",0.000624753614112808
"14",7.96280706711934e-05
"15",0.000176221506708913
"16",0.000130362232374291
"17",0.000142588064550708
"18",0.00010738278880537
"19",0.000213871811231716
"20",0.000207064090594411
"21",0.000344344125261801
"22",0.000164001244521414
"23",9.99466654237998e-05
"24",0.000215931363736464
"25",0.000252306046821634
"26",0.000309637548516472
"27",0.000133589496394517
"28",0.000206871198235943
"29",0.000142946368325534
"30",0.000101112616840476
"31",0.000169681005831047
"32",0.000101195764796328
"33",0.00011619586059113
"34",0.000293266375435391
"35",0.000277507512726681
"36",0.000166591810017792
"37",6.59646270509767e-05
"38",0.000148781142811308
"39",0.000165898566976753
"40",0.000488730438475943
"41",0.000145748292889739
"42",0.000236903514813724
"43",0.000125653668866893
"44",0.000208266277045626
"45",0.00010718329468935
"46",0.000192526695942758
"47",0.000167880873188426
"48",0.000100266016898508
"49",0.000294130770372865
"50",0.000168118598333369
"51",0.000167643435219423
"52",0.000154481582925859
"53",0.000273944301361362
"54",0.000366611574356001
"55",0.00017638539873771
"56",0.000128121015066936
"57",0.000183595622357076
"58",0.000311067856363906
"59",0.000200420007393949
"60",8.80067207565159e-05
"61",7.05629689679084e-05
"62",0.000214854692729
"63",8.2855189439042e-05
"64",6.75199449673761e-05
"65",0.000261188113010233
"66",0.000390018663430714
"67",7.16549122359514e-05
"68",0.000192209736278756
"69",0.000147545514610715
"70",0.000186733354141159
"71",0.000158324907169066
"72",8.57839344984978e-05
"73",0.000166728306553461
"74",0.00015192985437323
"75",0.000118948671315331
"76",0.000118508688921288
"77",0.000113519048421256
"78",0.000251958427198524
"79",0.000148689202968028
"80",0.000101321631152016
"81",0.000152162635847418
"82",0.000106940350980845
"83",0.000210396425641944
"84",0.0001534835633008
"85",0.000112866697484447
"86",0.000111622615181455
"87",0.000104419654334667
"88",0.000185389283552541
"89",9.16425417683425e-05
"90",0.000169380580279148
"91",0.000168534795470692
"92",8.64514952244193e-05
"93",0.000138451277085978
"94",0.0001371246814645
"95",0.00020575804236596
"96",0.000246445914867751
"97",0.000165462771964366
"98",0.000139685631347155
"99",0.000111817638082269
"100",9.3510953046919e-05
"101",0.000138394642163953
"102",0.000124938875571298
"103",0.000165642721150376
"104",0.000135905163119735
"105",0.000154904184110066
"106",0.000114355617239668
"107",8.67252559297635e-05
"108",8.51979574860281e-05
"109",0.000112955920514007
"110",0.000289645781651844
"111",0.000233687605938863
"112",0.00017839589749314
"113",0.00014162873207953
"114",7.93260400244301e-05
"115",8.4237350037848e-05
"116",0.000180489850600787
"117",0.000107259379216753
"118",0.000227226118694304
"119",0.00013071716118878
"120",0.000102605590313316
"121",0.000120765278991045
"122",0.000298481711880239
"123",0.000110068215328075
"124",0.000110231688164287
"125",0.000410554895406132
"126",0.000289983707743844
"127",0.000153985310710146
"128",6.57062356661903e-05
"129",9.57639275727164e-05
"130",0.00015252437514943
"131",8.52710621957494e-05
"132",0.000154294192760889
"133",0.000167739693259949
"134",0.000117424320615606
"135",0.000226987944450143
"136",0.000143085374057445
"137",0.000216536992463908
"138",0.000253108533716411
"139",0.000149159906263084
"140",9.00165921019175e-05
"141",9.07689010074914e-05
"142",0.000194683205604465
"143",0.00010497590526827
