"","variable1","variable2","value"
"1","Gender","Customer_Type","-0.040205975199"
"2","Gender","Online_boarding","-0.0648602029843"
"3","Gender","Inflight_entertainment","-0.0211261829896"
"4","Customer_Type","Age","-0.228369943660"
"5","Customer_Type","Flight_Distance","-0.2022322470236"
"6","Customer_Type","satisfaction","-0.274092552798"
"7","Age","Customer_Type","-0.228369943660"
"8","Age","Inflight_service","-0.0597768910832"
"9","Age","Cleanliness","-0.0555769146810"
"10","Type_of_Travel","Departure_Arrival_time_convenient","-0.177914977760"
"11","Type_of_Travel","Checkin_service","-0.116010028831"
"12","Type_of_Travel","Inflight_service","-0.0821957459566"
"13","Class","Flight_Distance","-0.2577718524919"
"14","Class","Online_boarding","-0.0830043588254"
"15","Class","satisfaction","-0.120948151242"
"16","Flight_Distance","Customer_Type","-0.202232247024"
"17","Flight_Distance","Class","-0.257771852492"
"18","Flight_Distance","Inflight_wifi_service","-0.065039590266"
"19","Inflight_wifi_service","Flight_Distance","-0.0650395902665"
"20","Inflight_wifi_service","Checkin_service","-0.036535482767"
"21","Inflight_wifi_service","Cleanliness","-0.0412138339109"
"22","Departure_Arrival_time_convenient","Customer_Type","-0.155735402152"
"23","Departure_Arrival_time_convenient","Type_of_Travel","-0.177914977760"
"24","Departure_Arrival_time_convenient","Inflight_entertainment","-0.0850029249324"
"25","Ease_of_Online_booking","Class","-0.067144069343"
"26","Ease_of_Online_booking","Cleanliness","-0.0418970812284"
"27","Ease_of_Online_booking","satisfaction","-0.105727200841"
"28","Gate_location","Online_boarding","-0.2120962545838"
"29","Gate_location","On_board_service","-0.042451750991"
"30","Gate_location","Leg_room_service","-0.0475611388966"
"31","Food_and_drink","On_board_service","-0.098647363355"
"32","Food_and_drink","Leg_room_service","-0.0762396845320"
"33","Food_and_drink","Inflight_service","-0.0903470352473"
"34","Online_boarding","Customer_Type","-0.083146120499"
"35","Online_boarding","Gate_location","-0.212096254584"
"36","Online_boarding","Inflight_entertainment","-0.0998883213257"
"37","Seat_comfort","Class","-0.063508911540"
"38","Seat_comfort","Ease_of_Online_booking","-0.075181386425"
"39","Seat_comfort","Inflight_service","-0.0751726450444"
"40","Inflight_entertainment","Customer_Type","-0.118928148602"
"41","Inflight_entertainment","Online_boarding","-0.0998883213257"
"42","Inflight_entertainment","Checkin_service","-0.188740601227"
"43","On_board_service","Type_of_Travel","-0.072125851656"
"44","On_board_service","Food_and_drink","-0.098647363355"
"45","On_board_service","Cleanliness","-0.1039462327640"
"46","Leg_room_service","Gate_location","-0.047561138897"
"47","Leg_room_service","Food_and_drink","-0.076239684532"
"48","Leg_room_service","Online_boarding","-0.0811819638260"
"49","Baggage_handling","Type_of_Travel","-0.071138263018"
"50","Baggage_handling","Class","-0.061015090679"
"51","Baggage_handling","Food_and_drink","-0.070116034302"
"52","Checkin_service","Type_of_Travel","-0.116010028831"
"53","Checkin_service","Class","-0.059209627577"
"54","Checkin_service","Inflight_entertainment","-0.1887406012268"
"55","Inflight_service","Type_of_Travel","-0.082195745957"
"56","Inflight_service","Food_and_drink","-0.090347035247"
"57","Inflight_service","Cleanliness","-0.1004159691982"
"58","Cleanliness","Type_of_Travel","-0.071898706510"
"59","Cleanliness","On_board_service","-0.103946232764"
"60","Cleanliness","Inflight_service","-0.1004159691982"
"61","Departure_Delay_in_Minutes","Type_of_Travel","-0.012401554543"
"62","Departure_Delay_in_Minutes","Inflight_wifi_service","-0.004960364802"
"63","Departure_Delay_in_Minutes","Checkin_service","-0.002840644694"
"64","Arrival_Delay_in_Minutes","Customer_Type","-0.016926893247"
"65","Arrival_Delay_in_Minutes","Inflight_service","-0.0171314051472"
"66","Arrival_Delay_in_Minutes","satisfaction","-0.033401464817"
"67","satisfaction","Customer_Type","-0.274092552798"
"68","satisfaction","Class","-0.120948151242"
"69","satisfaction","Ease_of_Online_booking","-0.105727200841"
