"","x"
"1",-0.0128099477926139
"2",-0.00691761994484718
"3",0.00151843897388478
"4",-0.0112471260685656
"5",0.00651605807761641
"6",-0.00146225230231652
"7",0.00162065103853581
"8",-0.00192242761888356
"9",-0.0114167955055399
"10",-0.00568671510485644
"11",-0.0124104222797361
"12",0.00081337331216366
"13",0.00261647126283575
"14",0.0268954395457054
"15",0.000119017221935523
"16",0.000739210223362027
"17",0.00311931334302677
"18",-0.00160141046906966
"19",0.00123033122085462
"20",0.000117280792521976
"21",-0.0160738328931769
"22",-0.0104641622501533
"23",-0.00818525619710475
"24",-0.00448150011369581
"25",0.0256954400440355
"26",-0.0108362439804418
"27",0.00475894669346274
"28",0.018113558525606
"29",-0.0237901757918769
"30",-0.00631931389153795
"31",0.00320839295379868
"32",-0.00420919556194876
"33",0.00987454462843562
"34",-0.0200960893265235
"35",-0.00506720544053832
"36",-0.00391708687931478
"37",-0.0239575223625466
"38",-0.00861974210432974
"39",0.0207266756943777
"40",-0.00296442916387526
"41",0.00138124222466136
"42",-0.0155045376345652
"43",0.00523235966424867
"44",0.0130867437413102
"45",0.00704214872952273
"46",0.00152327101329232
"47",-0.011996481370814
"48",-0.0143512931448788
"49",0.00804048161690564
"50",5.76916049849635e-05
"51",-0.0129199114163867
"52",0.00340158373470699
"53",0.0176049373078239
"54",-0.00436256010214731
"55",-0.0066204097978591
"56",0.00449845257412325
"57",0.00164550084039917
"58",-0.0020282204351715
"59",-0.00655782384588115
"60",-0.00894076764951697
"61",-0.00322772873408578
"62",0.00513344962806005
"63",-0.00608054252352733
"64",0.0010178686041087
"65",0.00550050629398324
"66",0.000156566884836623
"67",-0.00164959134609624
"68",-0.000427075545023971
"69",-0.00985240460520528
"70",0.0160978123088995
"71",-0.000159470921500927
"72",-0.0197678192948992
"73",-0.0187246765445143
"74",-0.000673910395257009
"75",-0.00245098016223434
"76",0.0203370380451432
"77",-0.0151921153412919
"78",0.02793441144174
"79",-0.0206670160187387
"80",-0.0147332693028631
"81",0.00818716451568852
"82",-0.00666858210264737
"83",-0.0116392589237374
"84",0.0224145609721401
"85",0.00172022802177739
"86",0.0144251345245629
"87",-0.0145758446669721
"88",-0.00915478012658358
"89",0.0200919610835362
"90",0.000723245825163985
"91",0.0426994058703322
"92",0.0191270523747916
"93",-0.0353823070241233
"94",0.0151282649671557
"95",0.0378393427828616
"96",0.00829992220392404
"97",-0.00560409084005152
"98",-0.00345879316139746
"99",0.00221987139544426
"100",0.0218632202373988
"101",-0.00456535833851256
"102",-0.00215717644803595
"103",-0.00228944937583265
"104",-0.0059309581818154
"105",0.0167292975693886
"106",0.00238972909072597
"107",0.00383989302553755
"108",-0.0091798572448133
"109",0.00181415211967393
"110",-0.00719378912121037
"111",0.00110274103512651
"112",-0.0395560899815102
"113",-0.00168844993587113
"114",-0.00271415794971888
"115",0.00213341490548235
"116",0.00163660522632606
"117",0.0087232213304743
"118",0.0101975977513142
"119",-0.0163000836041875
"120",-0.0259253845784432
"121",-0.00742969887744989
"122",-0.0283002615606303
"123",0.000253471396456922
"124",0.00133668400178234
"125",0.00830145941535155
"126",0.00620443325047295
"127",0.00267954018489305
"128",-0.00645947125094078
"129",-0.00880987485542115
"130",0.0204506299981778
"131",0.0167176000456109
"132",-0.015091848366134
"133",-0.0230637883344066
"134",-0.0166658475411219
"135",0.00337718742720634
"136",0.00187405166183173
"137",6.82518697296411e-05
"138",-0.018285102211389
"139",-0.00845299997552841
"140",0.0138922165062544
"141",0.0599346846595169
"142",-0.00960009248878838
"143",-0.0285311799618176
"144",0.00133576903199168
"145",-0.00518713978476336
"146",-0.00621355403137459
"147",-0.00160495418283663
"148",0.00685990671316414
"149",0.0187377978420954
"150",-0.0134914587683541
"151",0.0138264567888307
"152",-0.00735496518741241
"153",-0.0124738705870796
"154",-0.00369522208411594
"155",0.00104845695329881
"156",-0.00778141928166135
"157",0.000545674445085974
"158",-0.0130020289422931
"159",0.0117822282207808
"160",0.000395907841463869
"161",0.00503186983717716
"162",0.00903546696989315
"163",0.0468358037393333
"164",-0.0128055330261061
"165",0.00395048054259938
"166",0.0127870303117744
"167",-0.00743553699981574
"168",0.0026925696160417
"169",0.0180822806615581
"170",0.00483184751692069
"171",0.00368663797218092
"172",0.00747931921913036
"173",-0.00557237531099672
"174",0.00171410086895346
"175",0.0096861053380017
"176",-0.0152409831089769
"177",0.00388055854769728
"178",-0.0206488002086725
"179",0.0105306507789161
"180",-0.0366540779681201
"181",0.016000062021579
"182",0.0116883087514772
"183",-0.00211489682161274
"184",0.00367782299152539
"185",-0.0072863180382672
"186",0.00104239428857812
"187",0.00399201834263236
"188",-0.016689446954711
"189",0.000810182562232708
"190",0.0296919822719781
"191",0.00362454286713233
"192",0.00401484213628083
"193",-0.00377725564068122
"194",-0.0023175368063665
"195",0.0340790851650957
"196",-0.00219687896581717
"197",0.00166596181966722
"198",-0.00248838068248957
"199",-0.0170610811290038
"200",-0.0100151839832349
"201",-0.00190662984629689
"202",-0.000251009672688477
"203",-0.00676858757084344
"204",0.00540898669424011
"205",-2.71224543484209e-05
"206",-0.0128548183424788
"207",-0.00562484460668794
"208",0.0150232366480305
"209",0.00206424483600037
"210",-0.0207609647701053
"211",0.00282614245308571
"212",0.00241203097995779
"213",-0.0167879208031049
"214",0.00882066325100504
"215",0.0229724504482932
"216",0.00307779565013947
"217",0.00549169621444998
"218",-0.00398074086828735
"219",-0.00517141500517103
"220",-0.00213119282621094
"221",-0.00594551672411782
