"","x"
"245",1.29033022630587e-07
"246",1.9699172774739e-06
"247",2.95708376662428e-05
"248",6.78508089306064e-06
"249",3.17004703722854e-06
"250",1.57161839575134e-07
"251",3.4193847240647e-06
"252",1.43941714796671e-05
"253",4.03567899315118e-06
"254",6.86499945338437e-07
"255",8.12906389760627e-06
"256",1.06761119825438e-07
"257",6.18934063240991e-07
"258",1.01316734259194e-05
"259",1.91732586995707e-06
"260",1.94617726058132e-08
"261",1.37830029725129e-05
"262",1.57129237162011e-05
"263",2.77420459015151e-05
"264",4.31512740294712e-08
"265",1.43144129165614e-05
"266",8.68232417664115e-06
"267",2.44740553309633e-05
"268",1.29247647580229e-05
"269",5.10122324112075e-06
"270",2.43692509748463e-06
"271",1.60769492974557e-08
"272",1.51824746642552e-05
"273",9.35102535669839e-06
"274",1.42067931364419e-05
"275",3.29571129183626e-06
"276",2.4823407687277e-08
"277",5.40386163799473e-06
"278",4.22304598815565e-06
"279",1.66381792011533e-08
"280",4.88106734185631e-05
"281",1.89960795291074e-07
"282",6.45561716363451e-06
"283",5.30663516557081e-07
"284",1.55582116304799e-07
"285",8.54956245237706e-06
"286",1.244122993919e-06
"287",7.60013310064412e-06
"288",1.17851519580534e-06
"289",2.59909082767501e-05
"290",7.73672691614286e-06
"291",6.52294120126791e-06
"292",1.52024917047136e-05
"293",6.12723763286982e-06
"294",1.21758107698657e-07
"295",4.14012449034878e-08
"296",1.22837460613935e-06
"297",7.70368182475506e-06
"298",1.69089349946585e-05
"299",1.84261349672969e-05
"300",2.0494090191149e-06
"301",2.29919928856441e-07
"302",3.17558268459277e-07
"303",2.69347688747041e-08
"304",5.27882855066481e-08
"305",6.91823789783772e-07
"306",2.52187800403661e-05
"307",1.34829078847682e-05
"308",1.63286302218078e-06
"309",1.48367785734567e-05
"310",6.56296215742612e-06
"311",7.6528788934843e-07
"312",8.98052819130998e-08
"313",3.05656495985839e-08
"314",2.41223206891526e-06
"315",5.17829109807242e-07
"316",2.57556253357748e-06
"317",6.97616815841465e-06
"318",8.02088361699436e-06
"319",1.03259688365203e-05
"320",1.08137162411212e-05
"321",3.54319378201307e-08
"322",1.10630559826903e-06
"323",1.7404739132238e-06
"324",1.83794196540958e-06
"325",6.30457514136161e-09
"326",1.55604580052172e-06
"327",4.03520861144e-07
"328",1.68683241747316e-05
"329",1.52596803107068e-05
"330",2.59727500030985e-07
"331",1.09798596485713e-07
"332",2.53629100459972e-07
"333",1.74085003107333e-05
"334",2.85930654208334e-06
"335",3.95097178999709e-08
"336",2.17023158296682e-05
"337",1.76743837205183e-05
"338",6.39168926577887e-05
"339",4.35524470272271e-06
"340",0.000117408285506304
"341",9.16312017476781e-08
"342",3.47145065002428e-06
"343",1.01857211148032e-05
"344",1.34859560661277e-05
"345",0.000115540921861412
"346",8.9904648312916e-06
"347",3.28158045839909e-07
"348",4.08758274541407e-08
"349",7.79409035203255e-06
"350",5.37757078866297e-09
"351",1.54949209094825e-06
"352",4.87119630368353e-08
"353",9.83569535842341e-09
"354",6.55044569055121e-06
"355",6.02878250813109e-07
"356",1.06255420625416e-05
"357",7.1218318338855e-06
"358",1.18986179615488e-05
"359",3.43103202324637e-06
"360",2.73981605368575e-08
"361",0.000128559465473944
"362",4.82849881037984e-07
"363",5.8469273216702e-07
"364",6.62095158662516e-06
"365",9.27846204627187e-07
"366",8.0559718045779e-05
"367",8.70120742227438e-07
"368",2.57830140914611e-07
"369",1.40149388249693e-06
"370",1.17821595796171e-06
"371",1.1074559419466e-08
"372",3.89047661505374e-08
"373",2.05329916613041e-06
"374",3.08661131413241e-07
"375",7.41366053974125e-07
"376",1.26486922562557e-06
"377",7.52049424706479e-06
"378",2.94534738314346e-08
"379",6.11545246913391e-08
"380",7.45845761899809e-06
"381",1.12722560156657e-06
"382",1.14161633854748e-05
"383",3.89909217843633e-07
"384",1.7970743457214e-06
"385",1.51322277718265e-06
"386",1.49945469815067e-05
"387",3.99417736587441e-07
"388",4.31618054254844e-09
"389",1.18986175728825e-06
"390",1.16134326446476e-06
"391",1.02790849718179e-06
"392",1.02700573214406e-06
"393",2.73295715180862e-10
"394",6.70115178191345e-07
"395",1.32904035126847e-05
"396",3.69840327933139e-07
"397",6.78594871947076e-07
"398",2.51508656003481e-06
"399",9.83873940538306e-08
"400",6.95852129648706e-10
"401",3.09771919833811e-06
"402",2.21003900437117e-06
"403",3.84223498304566e-07
"404",2.74382074327335e-06
"405",3.29799505636266e-08
"406",2.82251930519903e-06
"407",4.15681303900752e-06
"408",1.49166077895924e-06
"409",8.01489332814103e-06
